0	0.660565
1	0.767634
2	0.619132
3	0.462535
4	0.991909
5	0.998267
6	1.001892
7	0.998267
8	0.622632
9	0.617844
10	0.720476
11	0.761260
12	0.846507
13	0.714027
14	0.820132
15	0.692348
16	0.982001
17	0.994245
18	1.005889
19	1.003308
20	0.765633
21	0.813136
22	0.816704
23	0.797299
24	0.949411
25	0.845848
26	0.898595
27	0.934991
28	0.963242
29	0.915877
30	1.089884
31	0.903881
32	0.726938
33	0.901771
34	1.001322
35	0.998267
36	0.726062
37	0.728273
38	0.807069
39	0.715031
40	0.942232
41	0.925128
42	0.997621
43	0.997579
44	0.913524
45	0.905872
46	0.710372
47	0.785740
